ISO3,Country,Region,Income_Level,M_Score,I_Score,N_Score,D_Score,MIND_Score,Binding_Constraint,NY.GNP.PCAP.PP.CD,EG.ELC.ACCS.ZS,SP.DYN.LE00.IN,SH.H2O.SMDW.ZS,SE.TER.ENRR,GB.XPD.RSDV.GD.ZS,IT.NET.USER.ZS,SE.XPD.TOTL.GD.ZS,NE.TRD.GNFS.ZS,IT.CEL.SETS.P2,BX.KLT.DINV.WD.GD.ZS,ST.INT.ARVL,SG.GEN.PARL.ZS,SL.TLF.CACT.FE.ZS,EG.FEC.RNEW.ZS,TX.VAL.TECH.MF.ZS
PRT,Portugal,Europe & Central Asia,High income,81.25,53.48,24.43,42.93,46.20,N,50730,100,82.3829268292683,95.2173479483637,77.6778182983398,1.69491,88.48704454,4.55160999298096,89.696408854026,124.129981203404,4.30503475485494,4208000,35.6521739130435,54.628,32.3,6.77343918950435
PRY,Paraguay,Latin America & Caribbean,Upper middle income,58.58,34.82,22.58,47.36,38.43,N,17930,99.8,73.982,64.3647197417661,37.6179261040957,0.14117,81.57806793,3.53410005569458,76.8311565430624,126.605481531224,2.46843780233781,1077000,23.75,59.011,58.8,10.5004049492786
PSE,West Bank and Gaza,"Middle East, North Africa, Afghanistan & Pakistan",Lower middle income,55.93,54.44,15.84,12.31,27.76,D,4660,100,69.213,80.6420172046077,44.4904623709098,,86.63765334,5.43442010879517,81.3136801569531,76.6918854204372,1.18281329825606,93000,,18.934,15.4,1.84344953927492
PYF,French Polynesia,East Asia & Pacific,High income,95.16,36.35,19.88,21.28,34.78,N,,100,84.192,90.448717948718,1.45677995681763,,72.7038953132942,,64.4688665693732,118.777524029055,-0.219284661446365,89400.0015258789,,46.628,7,1.92522086808869
QAT,Qatar,"Middle East, North Africa, Afghanistan & Pakistan",High income,96.17,47.89,27.36,22.03,40.82,D,121900,100,82.522,95.345241877961,43.0178909301758,0.68058,98.08540344,,100.213640845612,153.612474384296,0.209965001654649,582000,6.12244897959184,61.85,0,2.80655334313522
ROU,Romania,Europe & Central Asia,High income,71.85,41.99,22.73,32.65,38.68,N,47920,100,76.4585365853659,82.182992939047,55.1682891845703,0.51656,91.29048551,3.2788200378418,77.2149837939003,119.804862328273,1.87134949618788,5023000,22.3564954682779,41.807,23.6,13.4497511493721
RUS,Russian Federation,Europe & Central Asia,High income,67.31,47.38,28.61,27.50,39.80,D,46780,100,73.4404878048781,76.2607294162414,60.3891235376867,0.93706,94.36495368,4.16454853394225,39.5081647660396,186.103787309059,-0.430126781944773,6359000,16.4444444444444,54.546,3.5,9.72984772707015
RWA,Rwanda,Sub-Saharan Africa,Low income,32.73,21.26,18.10,64.99,30.08,N,3620,63.9,68.017,,9.41173924647801,0.78149,31.70330048,4.61476993560791,69.9544135680561,93.201462876722,4.02009319742237,1634000,63.75,57.304,79.9,4.78472979585672
SAU,Saudi Arabia,"Middle East, North Africa, Afghanistan & Pakistan",High income,78.42,53.09,30.57,18.34,39.09,D,71730,100,78.982,,83.884129573915,0.63522,100,4.48087978363037,54.6787052668733,159.541370566589,1.72104243015611,20292000,19.8675496688742,33.573,0.1,0.544002126713625
SDN,Sudan,Sub-Saharan Africa,Low income,31.29,15.19,10.44,44.20,21.64,N,2050,66,66.521,,15.8645696640015,,18.60000038,,1.99541210225008,70.2084038614961,1.37399372870934,836000,30.5164319248826,14.452,61,
SEN,Senegal,Sub-Saharan Africa,Lower middle income,34.13,39.37,22.31,39.74,33.04,N,4920,74.2,68.924,27.1931407050582,15.3302400879779,,60.11780167,6.16277045366329,68.1405147656211,123.894453697506,6.1461393599949,1376000,41.2121212121212,38.216,35.4,3.0439766592332
SGP,Singapore,East Asia & Pacific,High income,98.16,54.83,51.19,53.10,61.85,N,126190,100,83.3463414634146,100,97.2886546863037,1.80821,94.37757178,2.19099857819757,322.371427934716,170.78256295407,24.676735941018,2742000,32.3232323232323,63.569,1.1,59.429782938503
SLB,Solomon Islands,East Asia & Pacific,Lower middle income,42.28,46.35,16.29,54.92,36.39,N,2680,81.3,70.694,,,,29.04070091,8.29349080062944,111.352972064455,62.0734995506142,2.08128126058924,4400.00009536743,6,82.337,50.1,
SLE,Sierra Leone,Sub-Saharan Africa,Low income,12.21,14.54,16.99,63.45,20.92,M,3490,35.5,61.964,10.8953836036255,1.98783004283905,,25.10499954,2.62455277942046,40.5454450452166,107.882000873042,1.7469962843978,71000,29.5302013422819,51.604,71.6,
SLV,El Salvador,Latin America & Caribbean,Upper middle income,53.35,29.44,29.67,36.11,36.02,I,12420,98.3,72.302,,32.8347079463918,0.10152,66.47769928,3.31666994094849,84.6596461582312,176.517423814642,2.61241857793703,707000,31.6666666666667,49.052,21.9,5.47333119441725
SMR,San Marino,Europe & Central Asia,High income,89.62,54.91,41.17,0.00,0.00,D,71860,100,85.817,99.9999961845643,57.5487465181059,,97.35220337,2.89753007888794,340.983395012486,120.269873863303,-0.893347982047045,1904000,35,,,
SOM,"Somalia, Fed. Rep.",Sub-Saharan Africa,Low income,16.15,9.47,23.20,51.42,20.67,I,1630,50.3,58.967,,2.41033005714417,,27.94020081,0.00000814262404011,130.325060583271,53.9579646939598,6.39257959388318,,18.978102189781,20.7,95.4,
SRB,Serbia,Europe & Central Asia,Upper middle income,65.92,46.35,25.31,52.53,44.89,N,30770,100,75.9682926829268,74.9672634764971,70.582649230957,0.93978,87.69071294,3.40377998352051,111.725028388916,123.822194984291,6.20170332537196,446000,37.2,52.629,27.2,
SSD,South Sudan,Sub-Saharan Africa,Low income,0.08,0.00,13.94,59.17,0.00,I,1010,5.4,57.738,,,,6.671000004,,65.5513491845003,46.6152369503945,0.0012502291294692,,32.3636363636364,70.393,32.4,
STP,Sao Tome and Principe,Sub-Saharan Africa,Lower middle income,39.83,35.31,11.45,33.23,27.05,N,6240,81.3,69.905,36.6800380926738,12.8210802078247,,59.11759949,5.0288576428727,,62.4367400312479,-2.02904327860989,33400.0015258789,14.5454545454545,22.749,42.5,29.2734328924522
